"연월","이용객 수"
"2011-01","234587"
"2011-02","171376"
"2011-03","260687"
"2011-04","56204"
"2011-05","279310"
"2011-06","178302"
"2011-07","34784"
"2011-08","79331"
"2011-09","57239"
"2011-10","76839"
"2011-11","112560"
"2011-12","41913"
"2012-01","66605"
"2012-02","68784"
"2012-03","45941"
"2012-04","65663"
"2012-05","156643"
"2012-06","139584"
"2012-07","265630"
"2012-08","263250"
"2012-09","97374"
"2012-10","161502"
"2012-11","135065"
"2012-12","225727"
"2013-01","157984"
"2013-02","153178"
"2013-03","146687"
"2013-04","105868"
"2013-05","87644"
"2013-06","91386"
"2013-07","166671"
"2013-08","309217"
"2013-09","384284"
"2013-10","231982"
"2013-11","204426"
"2013-12","106606"
"2014-01","161145"
"2014-02","115293"
"2014-03","109126"
"2014-04","148670"
"2014-05","186780"
"2014-06","133408"
"2014-07","179424"
"2014-08","183125"
"2014-09","107369"
"2014-10","171033"
"2014-11","147484"
"2014-12","123211"
"2015-01","158698"
"2015-02","62223"
"2015-03","123780"
"2015-04","134556"
"2015-05","143500"
"2015-06","61109"
"2015-07","107472"
"2015-08","196562"
"2015-09","120163"
"2015-10","184878"
"2015-11","151738"
"2015-12","119285"
"2016-01","103462"
"2016-02","109914"
"2016-03","112204"
"2016-04","128351"
"2016-05","224462"
"2016-06","196737"
"2016-07","246683"
"2016-08","205932"
"2016-09","143336"
"2016-10","153767"
"2016-11","105085"
"2016-12","88442"
"2017-01","131520"
"2017-02","139372"
"2017-03","146703"
"2017-04","131411"
"2017-05","160724"
"2017-06","236393"
"2017-07","264731"
"2017-08","275547"
"2017-09","118661"
"2017-10","176067"
"2017-11","110150"
"2017-12","145310"
"2018-01","87455"
"2018-02","73592"
"2018-03","58184"
"2018-04","108680"
"2018-05","184518"
"2018-06","139516"
"2018-07","149282"
"2018-08","165913"
"2018-09","114090"
"2018-10","93758"
"2018-11","94882"
"2018-12","99372"
"2019-01","109000"
"2019-02","97273"
"2019-03","121104"
"2019-04","154597"
"2019-05","194262"
"2019-06","146978"
"2019-07","325318"
"2019-08","278993"
"2019-09","134546"
"2019-10","163608"
"2019-11","158821"
"2019-12","155008"
"2020-01","106304"
"2020-02","54797"
"2020-03","0"
"2020-04","0"
"2020-05","19938"
"2020-06","0"
"2020-07","12517"
"2020-08","25624"
"2020-09","2144"
"2020-10","52303"
"2020-11","52079"
"2020-12","2863"
